0.0,0.82,0.79,0.85
0.781,0.82,0.79,0.85
0.781,0.84,0.8,0.88
1.778,0.84,0.8,0.88
1.778,0.88,0.8,0.96
2.581,0.88,0.8,0.96
2.581,0.9,0.82,0.98
3.596,0.9,0.82,0.98
3.596,0.98,0.78,1.18
4.187,0.98,0.78,1.18
4.187,0.91,0.78,1.04
5.235,0.91,0.78,1.04
5.235,1.0,0.77,1.23
6.033,1.0,0.77,1.23
6.033,1.1,0.8,1.4
6.733,1.1,0.8,1.4
6.733,1.22,1.02,1.42
7.528,1.22,1.02,1.42
7.528,1.27,1.03,1.51
8.108,1.27,1.03,1.51
8.108,1.19,1.06,1.32
9.105,1.19,1.06,1.32
9.105,1.37,1.14,1.6
9.786,1.37,1.14,1.6
9.786,1.28,1.16,1.4
11.056,1.28,1.16,1.4
11.056,0.94,0.84,1.04
12.474,0.94,0.84,1.04
12.474,1.16,1.07,1.25
13.739,1.16,1.07,1.25
13.739,1.44,1.29,1.59
14.609,1.44,1.29,1.59
14.609,1.35,1.23,1.47
15.974,1.35,1.23,1.47
15.974,1.45,1.28,1.62
17.235,1.45,1.28,1.62
17.235,1.52,1.25,1.79
18.056,1.52,1.25,1.79
18.056,1.53,1.2,1.86
18.748,1.53,1.2,1.86
18.748,1.41,1.16,1.66
19.722,1.41,1.16,1.66
19.722,1.52,1.28,1.76
20.709,1.52,1.28,1.76
20.709,1.51,1.3,1.72
21.767,1.51,1.3,1.72
21.767,1.47,1.37,1.57
23.962,1.47,1.37,1.57
23.962,1.68,1.08,2.28
24.474,1.68,1.08,2.28
24.474,1.52,1.1,1.94
25.099,1.52,1.1,1.94
